time/fps,time/time_elapsed,time/iterations,train/reward,time/total_timesteps,train/entropy_loss,train/value_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
95,44,86,,4300,-7.120746421813965,2.051403600944468e-06,-9.877371788024902,1.0052452087402344,-0.004038202622439613,0.2,0.0,-0.017802372574806213,0.0047822227,850,0.00025,2960.0,0.000105
95,45,87,,4350,-7.119800090789795,1.1330381028074044e-06,-2.7438759803771973,1.0052316188812256,-0.0025913556348568846,0.2,0.003999999910593033,-0.016372140496969223,0.004707656,860,0.00025,2960.0,0.000105
95,46,88,,4400,-7.120327949523926,1.5594356341352978e-06,-1.0796856880187988,1.0054175853729248,0.0006731453514657205,0.2,0.0,-0.010976645164191723,0.0019042945,870,0.00025,2960.0,0.000105
95,46,89,,4450,-7.121734523773194,1.02863111806073e-06,0.15632474422454834,1.0058774948120117,-0.01141892474563786,0.2,0.04600000008940697,-0.022002829238772392,0.010987285,880,0.00025,2960.0,0.000105
95,47,90,,4500,-7.123634195327758,3.0706097390975627e-06,-1.6944186687469482,1.0060209035873413,-0.014647984871466235,0.2,0.06600000187754632,-0.034678228199481964,0.017175589,890,0.00025,2960.0,0.000105
95,47,91,,4550,-7.12371940612793,1.8255515897180885e-06,-2.6338789463043213,1.005958914756775,-0.007116359101637571,0.2,0.08000000081956386,-0.01710030995309353,0.01305245,900,0.00025,2960.0,0.000105
95,48,92,,4600,-7.123200225830078,7.863814346364961e-07,-2.5432677268981934,1.0058526992797852,-0.011735061651561417,0.2,0.06400000043213368,-0.018505875021219254,0.012967855,910,0.00025,2960.0,0.000105
95,48,93,,4650,-7.122741842269898,3.866245310746308e-06,-73.48578643798828,1.0056822299957275,-0.016769290498457677,0.2,0.03599999956786633,-0.02861062064766884,0.010624971,920,0.00025,2960.0,0.000105
94,49,94,,4700,-7.122097539901733,1.1946178460675582e-06,-20.956180572509766,1.0058305263519287,-0.0038050371172573703,0.2,0.03599999994039536,-0.010990298353135586,0.01012031,930,0.00025,2960.0,0.000105
94,50,95,,4750,-7.122976398468017,2.3148823402152628e-06,-23.50916290283203,1.005781888961792,-0.007216113638598642,0.2,0.012000000104308128,-0.025578932836651802,0.0065190494,940,0.00025,2960.0,0.000105
94,50,96,,4800,-7.121323680877685,1.1306902933938545e-06,-7.798619270324707,1.0051119327545166,-0.009881042467430223,0.2,0.09200000017881393,-0.021091574802994728,0.015886374,950,0.00025,2960.0,0.000105
94,51,97,,4850,-7.1176121711730955,1.1896944897671347e-06,-11.665186882019043,1.0044764280319214,-0.003657547208946177,0.2,0.015999999642372132,-0.01368539035320282,0.006107901,960,0.00025,2960.0,0.000105
94,51,98,,4900,-7.115505313873291,5.666160689088429e-07,-3.6182923316955566,1.0042740106582642,-0.013896054362412525,0.2,0.03799999952316284,-0.03065381571650505,0.01031811,970,0.00025,2960.0,0.000105
94,52,99,,4950,-7.116402626037598,1.7768798102224536e-06,-0.8204221725463867,1.005042314529419,-0.012800286001525852,0.2,0.03399999998509884,-0.025979047641158104,0.008406598,980,0.00025,2960.0,0.000105
94,52,100,,5000,-7.12121992111206,5.441668633920926e-07,0.4267064332962036,1.0060075521469116,-0.029939867720008097,0.2,0.09800000153481961,-0.05468011274933815,0.017524337,990,0.00025,2960.0,0.000105
94,53,101,,5050,-7.125186967849731,7.334071511877483e-07,-2.0430991649627686,1.006547212600708,-0.0026228610563563846,0.2,0.005999999865889549,-0.018401723355054855,0.0056223953,1000,0.00025,2960.0,0.000105
94,53,102,,5100,-7.127165651321411,1.1960908295804983e-06,-4.880926132202148,1.0068790912628174,-0.01230615596240341,0.2,0.053999998793005946,-0.026181265711784363,0.0151373455,1010,0.00025,2960.0,0.000105
94,54,103,,5150,-7.128288459777832,1.1675764994834026e-06,-1.6365675926208496,1.0069305896759033,0.0010585705847478977,0.2,0.0,-0.008142330683767796,0.0028597522,1020,0.00025,2960.0,0.000105
94,54,104,,5200,-7.127794313430786,7.511474166221887e-07,0.6487903892993927,1.006706953048706,-0.015567808236926339,0.2,0.07199999988079071,-0.023037640377879143,0.013829903,1030,0.00025,2960.0,0.000105
94,55,105,,5250,-7.127571105957031,5.186658609090955e-06,-1.0554981231689453,1.0070393085479736,-0.027156080121174143,0.2,0.1280000012367964,-0.04678740352392197,0.026064776,1040,0.00025,2960.0,0.000105
94,55,106,,5300,-7.129827070236206,9.738461812958121e-06,-2.5745956897735596,1.00733482837677,-0.00803889994882052,0.2,0.18200000040233136,-0.006719575729221106,0.02919669,1050,0.00025,2960.0,0.000105
95,56,107,,5350,-7.129913854598999,8.835124390316196e-06,-4.271971702575684,1.0072104930877686,-0.012147402752190839,0.2,0.01600000001490116,-0.02982272021472454,0.0062380014,1060,0.00025,2960.0,0.000105
95,56,108,,5400,-7.129031944274902,4.2567401465021245e-06,-0.2268221378326416,1.0070345401763916,-0.006861478495179085,0.2,0.06799999922513962,-0.013228378258645535,0.013824772,1070,0.00025,2960.0,0.000105
95,57,109,,5450,-7.128257131576538,1.0432001636218046e-05,-1.5156869888305664,1.0068601369857788,-0.01072754071210511,0.2,0.06999999955296517,-0.023779459297657013,0.014019254,1080,0.00025,2960.0,0.000105
95,57,110,,5500,-7.127266216278076,7.405774613289395e-06,0.0865241289138794,1.006622314453125,-0.027361148322001226,0.2,0.1360000003129244,-0.0467812642455101,0.031648822,1090,0.00025,2960.0,0.000105
95,58,111,,5550,-7.125887060165406,1.1603142502281116e-05,-3.710055351257324,1.0063289403915405,-0.005435444723581817,0.2,0.02799999974668026,-0.037945859134197235,0.01054148,1100,0.00025,2960.0,0.000105
