Wall time,Step,Value
1732024969.5235014,1984512,5.0065708023794286e-08
1732025048.1534858,1992704,3.137819604148717e-08
1732025067.759115,1994752,4.9902688203928847e-08
1732025144.2910187,2002944,1.0752910384326242e-05
1732025164.1957755,2004992,4.219122828885702e-08
1732025183.0001886,2007040,4.079825188796349e-08
1732025203.8523464,2009088,2.3038651875140204e-08
1732025264.4342968,2015232,1.848644792801224e-08
1732025285.7952974,2017280,3.049237662366977e-08
1732025304.377705,2019328,4.438410172724616e-08
1732025363.3273144,2025472,1.1742815786419669e-07
1732025383.4975462,2027520,3.329984465949565e-08
1732025540.267397,2043904,6.560393899235351e-07
1732025598.2231305,2050048,2.823439260168925e-08
1732025615.5197382,2052096,3.867538822532879e-08
1732025654.273635,2056192,2.0903769382130122e-08
1732025691.498526,2060288,1.7193272583426733e-08
1732025710.9813943,2062336,3.665680026188056e-08
1732025766.6890213,2068480,3.212011634445844e-08
1732025785.480611,2070528,1.804382634418289e-07
1732025823.35903,2074624,8.243062410429047e-08
1732025843.4494855,2076672,4.312334667133655e-08
1732025863.9428854,2078720,4.675912990137476e-08
1732025881.8822875,2080768,4.58816167281384e-08
1732025938.2243812,2086912,1.1581283843042911e-07
1732026088.8143272,2103296,4.212389725921639e-08
1732026127.226672,2107392,3.142100624131672e-08
1732026166.255319,2111488,2.0019058410980506e-08
1732026204.922546,2115584,7.698359638652619e-08
1732026224.7702935,2117632,2.147179678502198e-08
1732026242.3458302,2119680,6.756093284820963e-08
1732026282.092964,2123776,2.0589689952998924e-08
1732026319.600814,2127872,1.5076301096428324e-08
1732026339.46792,2129920,8.512285631923078e-08
1732026357.247966,2131968,2.7494476739775564e-07
1732026414.8687894,2138112,1.4186791474912752e-07
1732026452.5574853,2142208,3.696596806435082e-08
1732026582.4280415,2156544,1.6338342234689662e-08
1732026602.1271763,2158592,5.6589943397966636e-08
1732026657.4807394,2164736,8.886992475254374e-08
1732026697.0061615,2168832,1.9112828653078395e-08
1732026811.6851115,2181120,3.808550275152811e-08
1732026830.4343517,2183168,4.367767303392611e-08
1732026868.1933007,2187264,5.4340993926871306e-08
1732026906.945509,2191360,5.749319953451959e-08
1732026980.7463362,2199552,1.3348930849588214e-07
1732027054.3466392,2207744,4.38638956268278e-08
1732027091.1330128,2211840,1.080518714502432e-07
1732027127.8078356,2215936,9.09261288484231e-08
1732027181.7755535,2222080,9.127958122689961e-08
1732027200.3922923,2224128,3.6895695387784144e-08
1732027219.1409056,2226176,4.125116959130537e-08
1732027236.3064024,2228224,3.761687707992678e-07
1732027346.5602984,2240512,3.989186581065951e-08
1732027365.2628903,2242560,2.652541475356429e-08
1732027476.2747347,2254848,5.004897118965346e-08
1732027512.0087624,2258944,2.5867791464406764e-07
1732027548.5780191,2263040,2.1889695389631925e-08
1732027567.7823884,2265088,2.869634840863e-08
1732027585.3517838,2267136,3.976471063538156e-08
1732027748.749158,2285568,5.36639355175339e-08
1732027784.4271,2289664,3.7547888354083625e-08
1732027840.0857818,2295808,7.284983638555786e-08
1732027915.2021115,2304000,3.152081617940894e-08
1732027951.1618938,2308096,1.3544411103794118e-07
1732027970.1282423,2310144,4.804202191621698e-08
1732027987.068151,2312192,7.319530936911178e-08
1732028041.677391,2318336,5.0754515257267485e-08
1732028060.630513,2320384,2.3269697280170476e-08
1732028098.3111792,2324480,4.57442297374655e-08
1732028118.1306999,2326528,1.1964953472443085e-08
1732028135.192041,2328576,3.5943639176139186e-08
1732028191.0049644,2334720,6.806175179008278e-08
1732028210.6351352,2336768,5.854706728314341e-07
1732028395.1764793,2357248,2.508375303023058e-07
1732028432.8140917,2361344,2.3898913070752315e-08
1732028449.9206948,2363392,4.926058849719084e-08
1732028506.0969756,2369536,3.7349501269545726e-08
1732028524.6533275,2371584,2.408060595371353e-08
1732028541.521813,2373632,3.549920535306228e-08
1732028596.444214,2379776,4.159841182627133e-08
1732028614.7904594,2381824,4.7345739773163587e-08
1732028633.728788,2383872,2.5034273321011824e-08
1732028912.5334103,2414592,1.1952758427469234e-07
1732028967.4243848,2420736,1.5704503653068969e-07
1732029003.9950352,2424832,3.5745884474636114e-08
1732029022.5612376,2426880,3.173867924033402e-08
1732029058.549272,2430976,1.5868025116105855e-07
1732029077.3293862,2433024,4.6445617130075334e-08
1732029132.3495505,2439168,1.5209781878411377e-08
1732029186.589417,2445312,1.4201444464845281e-08
1732029204.2011464,2447360,2.703038148865744e-08
1732029223.6362455,2449408,3.0375371551372154e-08
1732029242.8796241,2451456,1.7709721689129765e-08
1732029277.9473238,2455552,2.3880390997987888e-08
1732029313.9892335,2459648,4.5945242277412035e-07
1732029353.7157402,2463744,2.937455079177198e-08
1732029389.6096163,2467840,1.7180036948616362e-08
1732029406.9898562,2469888,3.1965040392378796e-08
1732029444.9941056,2473984,1.515447145550297e-08
1732029482.1070433,2478080,5.2888363910597036e-08
1732029518.4179912,2482176,4.1240312498302956e-08
1732029538.287409,2484224,1.6710423267340957e-08
1732029557.0289228,2486272,4.545861997939937e-08
1732029574.630997,2488320,2.6039441536340746e-07
1732029594.3846002,2490368,1.2374360203182277e-08
1732029780.2738748,2510848,4.695589339576145e-08
1732029855.8005269,2519040,1.9487499614001536e-08
1732029927.5198915,2527232,2.830038070555929e-08
1732029946.4351306,2529280,1.0234021630139978e-08
1732029964.889163,2531328,2.4579007273928255e-08
1732030001.2399101,2535424,1.0724538590523025e-08
1732030056.068795,2541568,2.262006404407657e-08
1732030115.2686262,2547712,2.51169804954543e-08
1732030151.201521,2551808,2.5880519061161067e-08
1732030187.7612607,2555904,4.68638639006258e-08
1732030206.6420295,2557952,1.1677599331960664e-08
1732030243.0511925,2562048,5.8298923022448434e-08
1732030316.474486,2570240,1.980434660708852e-08
1732030333.550678,2572288,2.9931243261671625e-08
1732030351.8810902,2574336,1.0739173994522844e-08
1732030387.6206813,2578432,3.9513007976665904e-08
1732030406.224134,2580480,1.4715933360776035e-08
1732030460.321841,2586624,1.2178891672931513e-08
1732030477.3348978,2588672,3.25304370107915e-08
1732030496.077359,2590720,2.0460446137349209e-07
1732030515.1618114,2592768,2.288390810178953e-08
1732030532.9515367,2594816,3.186821118106309e-08
1732030551.4820817,2596864,1.2727739751028366e-08
1732030645.3546169,2607104,1.6176905148768128e-07
1732030663.8937652,2609152,3.1701354430424544e-08
1732030699.8374772,2613248,4.284719068436971e-08
1732030775.8818269,2621440,2.767242079926291e-08
1732030794.073008,2623488,6.770061844463271e-08
1732030835.2353406,2627584,3.057928310568059e-08
1732030912.2868876,2635776,7.762758258422764e-08
1732030949.9603426,2639872,6.478214231719903e-08
1732031025.0898626,2648064,1.435122687354351e-08
1732031044.1592846,2650112,3.233458301110659e-08
1732031061.9167788,2652160,4.3948395500592596e-07
1732031081.8977406,2654208,9.238049436532947e-09
1732031119.9559865,2658304,6.916712891325005e-08
1732031176.6740541,2664448,3.1846926873413395e-08
1732031196.5558364,2666496,2.1220468937599435e-08
1732031234.482891,2670592,1.4295991945800779e-08
1732031254.032758,2672640,3.247617996748886e-08
1732031272.177836,2674688,3.922202296280375e-08
1732031390.7384648,2686976,3.180560170790159e-08
1732031429.1924338,2691072,3.1940160738486156e-08
1732031448.9317381,2693120,4.979802881166506e-08
1732031487.4050074,2697216,1.2013886419026676e-07
1732031507.7936702,2699264,1.4198052511460446e-08
1732031565.7432706,2705408,1.2302285412602032e-08
1732031585.353042,2707456,1.4271431325596495e-07
1732031682.7989178,2717696,2.997379411340262e-08
1732031700.5309038,2719744,1.0900037494820936e-07
1732031719.6592615,2721792,5.6857988539604776e-08
1732031776.7206714,2727936,1.3116330244145047e-08
1732031814.3108826,2732032,5.449097884024923e-08
1732031834.69891,2734080,2.294115653000972e-08
1732031852.3818767,2736128,7.469957097328006e-08
1732031872.567929,2738176,1.228819268561665e-08
1732031892.4192328,2740224,2.674891774745447e-08
1732031910.9114883,2742272,7.648621647149412e-08
1732031969.6790395,2748416,5.621807375177923e-08
1732032027.9864466,2754560,3.742345455748364e-08
1732032127.1771135,2764800,2.8012046016101522e-08
1732032146.6952345,2766848,1.0326403732108247e-08
1732032166.173788,2768896,3.443185647711289e-08
1732032184.1534483,2770944,4.718219770438736e-08
1732032261.3103411,2779136,1.2706159679964912e-07
1732032340.097485,2787328,2.6165215771811745e-08
1732032380.6143773,2791424,2.764786444231504e-08
1732032399.3921876,2793472,4.544618192880989e-08
1732032479.5238972,2801664,1.495967261178066e-08
1732032558.1687565,2809856,3.886487931481497e-08
1732032695.3816452,2824192,2.0000983980139608e-08
