time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/std,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance
1226752,599,7.527999999999998e-05,1498.0,112,10887,0.15225350856781006,0.29142199428752064,2.296617123836997e-08,275.22256,0.279114693403244,0.00025,3.348217248916626,5980,0.2,1.0,-0.1169438362121582
1228800,600,7.532999999999999e-05,1498.0,112,10908,0.15225350856781006,0.2950830561108887,3.539355097337271e-08,262.91406,0.30585530400276184,0.00025,3.348217248916626,5990,0.2,1.0,-0.17198920249938965
1230848,601,7.529e-05,1498.0,112,10925,0.15225350856781006,0.29404478361830116,3.510790911875894e-08,271.51227,0.3164919912815094,0.00025,3.348217248916626,6000,0.2,1.0,-0.5242302417755127
1232896,602,7.529999999999999e-05,1498.0,112,10945,0.15225350856781006,0.28983234632760285,2.464215529546232e-08,269.955,0.2747099697589874,0.00025,3.348217248916626,6010,0.2,1.0,-0.29611480236053467
1234944,603,7.527e-05,1498.0,112,10963,0.15225350856781006,0.2970990820787847,2.4523894912031884e-08,258.062,0.29029378294944763,0.00025,3.348217248916626,6020,0.2,1.0,-0.7810674905776978
1236992,604,7.529999999999999e-05,1498.0,112,10980,0.15225350856781006,0.2953025076538324,3.2174072167601156e-08,278.69827,0.30228227376937866,0.00025,3.348217248916626,6030,0.2,1.0,-0.464921236038208
1239040,605,7.534999999999999e-05,1498.0,112,10999,0.15225350856781006,0.2934043938294053,2.530345224460717e-08,267.9534,0.31624114513397217,0.00025,3.348217248916626,6040,0.2,1.0,-0.4991341829299927
1241088,606,7.540999999999998e-05,1498.0,112,11016,0.15225350856781006,0.2962255495600402,3.734166160451746e-08,262.55322,0.3195589780807495,0.00025,3.348217248916626,6050,0.2,1.0,-1.2943317890167236
1243136,607,7.541e-05,1498.0,112,11033,0.15225350856781006,0.2942013876512647,2.5114091981026653e-08,276.2686,0.3043224811553955,0.00025,3.348217248916626,6060,0.2,1.0,-0.45364952087402344
1245184,608,7.538e-05,1498.0,112,11052,0.15225350856781006,0.29484105948358774,2.7493291646085716e-08,263.8734,0.27099213004112244,0.00025,3.348217248916626,6070,0.2,1.0,-0.06793057918548584
1247232,609,7.532e-05,1498.0,112,11070,0.15225350856781006,0.2972679156810045,3.357074121468351e-08,267.73248,0.30852431058883667,0.00025,3.348217248916626,6080,0.2,1.0,0.15102547407150269
