,date,dji
161,2022-11-02,958366.148070575
162,2022-11-03,953998.5031472453
163,2022-11-04,965981.7678350402
164,2022-11-07,978615.174807691
165,2022-11-08,988567.0214248841
166,2022-11-09,969282.4364579951
167,2022-11-10,1005098.6619738729
168,2022-11-11,1006067.1795062295
169,2022-11-14,999772.2231221247
170,2022-11-15,1001448.2929601922
171,2022-11-16,1000282.8578917993
172,2022-11-17,1000059.040325707
173,2022-11-18,1006002.5495638875
174,2022-11-21,1004648.8142851038
175,2022-11-22,1016508.3504796764
176,2022-11-23,1019368.9532429733
177,2022-11-25,1023929.2652646898
178,2022-11-28,1009096.0530203086
179,2022-11-29,1009187.5829927063
180,2022-11-30,1031165.6062504024
181,2022-12-01,1025359.6248715116
182,2022-12-02,1026399.0606649244
183,2022-12-05,1012006.8458829736
184,2022-12-06,1001550.187013434
185,2022-12-07,1001597.3494037917
186,2022-12-08,1007069.4676390892
187,2022-12-09,997976.4423277911
188,2022-12-12,1013734.037423182
189,2022-12-13,1016822.533514701
190,2022-12-14,1012580.7131908316
191,2022-12-15,989800.9292970557
192,2022-12-16,981401.3657995347
193,2022-12-19,976544.4547451246
194,2022-12-20,979293.0322750288
195,2022-12-21,994995.8957075354
196,2022-12-22,984591.9888449884
197,2022-12-23,989851.9345488498
198,2022-12-27,990973.700737282
199,2022-12-28,980067.3106293199
200,2022-12-29,990354.8835956512
201,2022-12-30,988162.2400202345
202,2023-01-03,987837.9258050591
203,2023-01-04,991814.7051401533
204,2023-01-05,981688.0665527704
205,2023-01-06,1002571.8059038229
206,2023-01-09,999204.2947819415
207,2023-01-10,1004762.7027240413
208,2023-01-11,1012779.2610317199
209,2023-01-12,1019247.0297301228
210,2023-01-13,1022604.9919235862
211,2023-01-17,1010926.1866668777
212,2023-01-18,992625.3160025716
213,2023-01-19,985100.8768594646
214,2023-01-20,994966.3173195086
215,2023-01-23,1002540.4807605977
216,2023-01-24,1005652.8491731618
217,2023-01-25,1005947.3520996171
218,2023-01-26,1012075.6680377919
219,2023-01-27,1012930.2971312108
220,2023-01-30,1005149.9001263602
221,2023-01-31,1016148.7518094927
222,2023-02-01,1016355.1018236008
223,2023-02-02,1015191.8793117924
224,2023-02-03,1011378.1304618851
225,2023-02-06,1010334.9682573824
226,2023-02-07,1018254.9892277606
227,2023-02-08,1012063.7901024425
228,2023-02-09,1004636.8198994078
229,2023-02-10,1009686.5727277247
230,2023-02-13,1020915.2973949709
231,2023-02-14,1016245.0562460996
232,2023-02-15,1017401.1752867678
233,2023-02-16,1004546.5708808224
234,2023-02-17,1008417.2639501985
235,2023-02-21,987635.7680034273
236,2023-02-22,985116.7141065971
237,2023-02-23,988360.7878611227
238,2023-02-24,978314.7329135608
239,2023-02-27,980466.1530662948
240,2023-02-28,973538.2890486252
241,2023-03-01,973691.5377047007
242,2023-03-02,983878.963372989
243,2023-03-03,995427.8100429341
244,2023-03-06,996634.3520836635
245,2023-03-07,979493.443321462
246,2023-03-08,977762.5253701636
247,2023-03-09,961558.92544744
248,2023-03-10,951267.509619672
249,2023-03-13,948569.5879905224
250,2023-03-14,958593.9249484503
251,2023-03-15,950222.0184082378
252,2023-03-16,961311.2355603026
253,2023-03-17,949846.6989412684
254,2023-03-20,961252.486360462
255,2023-03-21,970673.4358476787
256,2023-03-22,954858.8383076458
257,2023-03-23,957098.8771741134
258,2023-03-24,961042.2934849175
259,2023-03-27,966842.1029954406
260,2023-03-28,965714.3396141605
261,2023-03-29,975353.8081767008
262,2023-03-30,979570.0676494999
263,2023-03-31,991945.2459786494
264,2023-04-03,1001693.537390052
265,2023-04-04,995767.9615052418
266,2023-04-05,998162.9957829836
267,2023-04-06,998239.6201110214
268,2023-04-10,1001257.4308421771
269,2023-04-11,1004186.9722106387
270,2023-04-12,1003045.5259136375
271,2023-04-13,1014468.9555603352
