,account_value,date,daily_return,datadate
126,973610.4568803612,2021-10-04,,2021-10-04
127,978396.8610455184,2021-10-05,0.0049161388225982,2021-10-05
128,980429.2407579592,2021-10-06,0.0020772549395433,2021-10-06
129,990115.915639776,2021-10-07,0.0098800346614795,2021-10-07
130,989489.7495479792,2021-10-08,-0.0006324169543242,2021-10-08
131,984084.3578397882,2021-10-11,-0.0054628071798219,2021-10-11
132,975307.8521532266,2021-10-12,-0.0089184485218597,2021-10-12
133,975736.62340814,2021-10-13,0.0004396265794095,2021-10-13
134,985480.4843207492,2021-10-14,0.0099861588453806,2021-10-14
135,991699.6386625957,2021-10-15,0.0063107838671538,2021-10-15
136,989655.5124418084,2021-10-18,-0.002061235217897,2021-10-18
137,1001125.179348112,2021-10-19,0.011589554912905,2021-10-19
138,1006596.7027302608,2021-10-20,0.0054653738563559,2021-10-20
139,1004606.0672669046,2021-10-21,-0.0019775898907246,2021-10-21
140,1005705.372805166,2021-10-22,0.0010942652787795,2021-10-22
141,1005921.597959726,2021-10-25,0.0002149985079198,2021-10-25
142,1005554.0188302516,2021-10-26,-0.0003654152870562,2021-10-26
143,998287.7934630868,2021-10-27,-0.0072260915188001,2021-10-27
144,1008862.813085985,2021-10-28,0.0105931572960671,2021-10-28
145,1008227.229703222,2021-10-29,-0.0006299998121833,2021-10-29
146,1011113.5530267314,2021-11-01,0.0028627706517696,2021-11-01
147,1014827.2569533671,2021-11-02,0.0036728851230596,2021-11-02
148,1016240.9505349712,2021-11-03,0.0013930386397464,2021-11-03
149,1012780.9260577296,2021-11-04,-0.0034047284508855,2021-11-04
150,1022203.288458292,2021-11-05,0.0093034556221738,2021-11-05
151,1026648.5379683704,2021-11-08,0.004348694198375,2021-11-08
152,1021559.9557798976,2021-11-09,-0.004956498743516,2021-11-09
153,1014842.59623604,2021-11-10,-0.00657559011182,2021-11-10
154,1011651.5117770404,2021-11-11,-0.0031444132034219,2021-11-11
155,1016821.1237164936,2021-11-12,0.0051100718767989,2021-11-12
156,1015694.9132227458,2021-11-15,-0.0011075797576188,2021-11-15
157,1014331.9086982096,2021-11-16,-0.001341942847987,2021-11-16
158,1012401.1672765636,2021-11-17,-0.0019034611896652,2021-11-17
159,1012493.5781847936,2021-11-18,9.1278942791595e-05,2021-11-18
160,1004540.8101441785,2021-11-19,-0.0078546355374153,2021-11-19
161,1005446.8812522488,2021-11-22,0.0009019754089836,2021-11-22
162,1014680.3973013136,2021-11-23,0.0091834946442568,2021-11-23
163,1015104.2355488834,2021-11-24,0.0004177061552557,2021-11-24
164,989959.8440135136,2021-11-26,-0.0247702557577979,2021-11-26
165,998557.5478500768,2021-11-29,0.0086849016033883,2021-11-29
166,987323.14561088,2021-11-30,-0.0112506307356895,2021-11-30
167,982785.2266087132,2021-12-01,-0.0045961841595023,2021-12-01
168,992256.7089476528,2021-12-02,0.0096373877857554,2021-12-02
169,993658.6488169004,2021-12-03,0.0014128802119506,2021-12-03
170,1014913.0457459585,2021-12-06,0.0213900386761234,2021-12-06
171,1028750.7486616308,2021-12-07,0.0136343728890602,2021-12-07
172,1035181.106644373,2021-12-08,0.0062506471962309,2021-12-08
173,1037697.2915660802,2021-12-09,0.0024306712183568,2021-12-09
174,1047420.2293422336,2021-12-10,0.0093697245383379,2021-12-10
175,1043101.8580071088,2021-12-13,-0.0041228641706078,2021-12-13
176,1047436.0628452626,2021-12-14,0.0041551117993734,2021-12-14
177,1065124.1493749332,2021-12-15,0.0168870322085556,2021-12-15
178,1062385.1293232366,2021-12-16,-0.0025715500425973,2021-12-16
179,1045448.1211630652,2021-12-17,-0.0159424371564395,2021-12-17
180,1033498.5371371136,2021-12-20,-0.0114301071321047,2021-12-20
181,1044987.7446131152,2021-12-21,0.0111168105838135,2021-12-21
182,1053362.7265428486,2021-12-22,0.0080144307652467,2021-12-22
183,1057811.680194685,2021-12-23,0.0042235723172376,2021-12-23
184,1069920.9130591603,2021-12-27,0.0114474372813189,2021-12-27
185,1072111.7089873068,2021-12-28,0.0020476241761482,2021-12-28
186,1074376.5752561092,2021-12-29,0.0021125282466523,2021-12-29
187,1071332.5008712525,2021-12-30,-0.0028333402411825,2021-12-30
188,1067464.4962492734,2021-12-31,-0.0036104613822816,2021-12-31
189,1077088.2014609128,2022-01-03,,2022-01-03
190,1075961.1607496282,2022-01-04,-0.0010463773623701,2022-01-04
191,1066503.8003960554,2022-01-05,-0.0087896856304587,2022-01-05
192,1059670.367832884,2022-01-06,-0.0064073213434718,2022-01-06
193,1061124.6377475415,2022-01-07,0.0013723795236737,2022-01-07
194,1055381.4614533216,2022-01-10,-0.0054123484555131,2022-01-10
195,1059684.216565302,2022-01-11,0.0040769667358524,2022-01-11
196,1059587.2879371436,2022-01-12,-9.146935157033909e-05,2022-01-12
197,1055601.348037737,2022-01-13,-0.0037617853147017,2022-01-13
198,1054427.3423741972,2022-01-14,-0.0011121676433267,2022-01-14
199,1045132.0758284284,2022-01-18,-0.0088154642545964,2022-01-18
200,1035253.0245840132,2022-01-19,-0.0094524428757816,2022-01-19
201,1026433.178726866,2022-01-20,-0.0085195074515153,2022-01-20
202,1013085.830821951,2022-01-21,-0.0130036208703524,2022-01-21
203,1008283.1556438924,2022-01-24,-0.0047406399654824,2022-01-24
204,1010689.7729002744,2022-01-25,0.0023868466342127,2022-01-25
205,1009637.3451365912,2022-01-26,-0.0010412965401473,2022-01-26
206,1009331.7001549132,2022-01-27,-0.0003027274923518,2022-01-27
207,1044850.3555166952,2022-01-28,0.0351902703108706,2022-01-28
208,1043805.5086138368,2022-01-31,-0.0009999966955476,2022-01-31
209,1044271.7795681444,2022-02-01,0.000446702906298,2022-02-01
210,1048159.680347674,2022-02-02,0.0037230736821571,2022-02-02
211,1041880.5533241108,2022-02-03,-0.0059906206480679,2022-02-03
212,1040273.3739283248,2022-02-04,-0.0015425754810938,2022-02-04
213,1038950.9818235806,2022-02-07,-0.0012711967237519,2022-02-07
214,1041248.5472410838,2022-02-08,0.0022114281209595,2022-02-08
215,1044078.1836085496,2022-02-09,0.0027175417194706,2022-02-09
216,1034270.2428531516,2022-02-10,-0.0093938757742257,2022-02-10
217,1025738.1142852044,2022-02-11,-0.0082494189762343,2022-02-11
218,1021918.3658499204,2022-02-14,-0.0037239022145,2022-02-14
219,1029774.7361734756,2022-02-15,0.0076878648883278,2022-02-15
220,1027392.9949058668,2022-02-16,-0.002312875995054,2022-02-16
221,1014825.0537228072,2022-02-17,-0.012232846871037,2022-02-17
222,1008998.4782127746,2022-02-18,-0.0057414580854683,2022-02-18
223,997698.988313002,2022-02-22,-0.0111987184755592,2022-02-22
224,981957.1183289628,2022-02-23,-0.0157781757508415,2022-02-23
225,984756.392812964,2022-02-24,0.0028507094981549,2022-02-24
226,1007783.0104186576,2022-02-25,0.02338305978387,2022-02-25
227,1003168.3700292192,2022-02-28,-0.0045790019694036,2022-02-28
228,979258.0931879524,2022-03-01,-0.0238347595036017,2022-03-01
229,990797.69349375,2022-03-02,0.0117840234214767,2022-03-02
230,991418.2472660736,2022-03-03,0.0006263173364235,2022-03-03
231,986296.5576788278,2022-03-04,-0.0051660231202819,2022-03-04
232,959177.854261004,2022-03-07,-0.027495486227434,2022-03-07
233,959626.5323413834,2022-03-08,0.0004677736025557,2022-03-08
234,971248.2242389244,2022-03-09,0.0121106404479931,2022-03-09
235,966571.8699680276,2022-03-10,-0.0048147879750939,2022-03-10
236,963943.3816749252,2022-03-11,-0.0027193924991725,2022-03-11
237,967726.928773024,2022-03-14,0.00392507191815,2022-03-14
238,985874.4930618884,2022-03-15,0.0187527738965302,2022-03-15
239,998788.9796638016,2022-03-16,0.0130995240193345,2022-03-16
240,1003843.3477810884,2022-03-17,0.0050604964814369,2022-03-17
241,1012229.5276841798,2022-03-18,0.0083540722978625,2022-03-18
242,1004872.3191287676,2022-03-21,-0.0072683204295023,2022-03-21
243,1013301.2897152964,2022-03-22,0.008388101081177,2022-03-22
244,1001186.9622944284,2022-03-23,-0.0119553064264545,2022-03-23
245,1012940.4898631196,2022-03-24,0.0117395931143127,2022-03-24
246,1022775.3384897828,2022-03-25,0.0097092067353257,2022-03-25
247,1026979.991225474,2022-03-28,0.0041110227998844,2022-03-28
248,1039423.7590195033,2022-03-29,0.0121168551484438,2022-03-29
249,1037780.8041114984,2022-03-30,-0.0015806401323311,2022-03-30
250,1024251.8001274744,2022-03-31,-0.0130364754584249,2022-03-31
251,1031628.4599661432,2022-04-01,0.007201998412647,2022-04-01
