Date,BCRP_net_worth
2022-05-12,1099636.8069477158
2022-05-13,1118834.2031790656
2022-05-16,1119723.1779357223
2022-05-17,1139464.5185988464
2022-05-18,1098683.1636966285
2022-05-19,1088026.7136443825
2022-05-20,1089567.2477517966
2022-05-23,1113762.0772400894
2022-05-24,1112811.381752819
2022-05-25,1122823.4160804634
2022-05-26,1142065.1416867143
2022-05-27,1162792.8012121392
2022-05-31,1153817.2601890296
2022-06-01,1148782.5832035674
2022-06-02,1163289.2090418243
2022-06-03,1152467.081160782
2022-06-06,1152154.4779989966
2022-06-07,1161364.784065277
2022-06-08,1151345.262293827
2022-06-09,1127945.8980244598
2022-06-10,1097734.301823349
2022-06-13,1064554.9257506141
2022-06-14,1061382.0217463837
2022-06-15,1072613.274357544
2022-06-16,1042844.797445179
2022-06-17,1042526.5310501175
2022-06-21,1065452.9174984512
2022-06-22,1061103.7139093704
2022-06-23,1064568.894120163
2022-06-24,1093383.613880253
2022-06-27,1092999.8305733872
2022-06-28,1075772.1804840127
2022-06-29,1077547.6422761306
2022-06-30,1065905.5337782975
2022-07-01,1076975.280052044
2022-07-05,1074313.8281885718
2022-07-06,1074740.8025237122
2022-07-07,1089773.8346346894
2022-07-08,1089113.9917485772
2022-07-11,1082640.7175037765
2022-07-12,1077106.8873475152
2022-07-13,1072064.4734159203
2022-07-14,1068312.140258911
2022-07-15,1091090.9064014321
2022-07-18,1084534.8556157378
2022-07-19,1114649.6003171883
2022-07-20,1117120.691991604
2022-07-21,1123413.470184677
2022-07-22,1117414.25093404
2022-07-25,1121849.1666824685
2022-07-26,1113184.0506630554
2022-07-27,1128709.8481517106
2022-07-28,1137405.6793341674
2022-07-29,1150008.7591935159
2022-08-01,1147671.384465332
2022-08-02,1129921.0399593543
2022-08-03,1143224.0902338296
2022-08-04,1140614.6579020538
2022-08-05,1144320.706661419
2022-08-08,1144137.0677980462
2022-08-09,1142340.8424054335
2022-08-10,1161214.6594905776
2022-08-11,1162379.9035207443
2022-08-12,1176412.138781887
2022-08-15,1181228.2044586677
2022-08-16,1189074.013485611
2022-08-17,1183836.4561978225
2022-08-18,1187774.2088143653
2022-08-19,1177164.743848732
2022-08-22,1153734.1799555435
2022-08-23,1151228.254002472
2022-08-24,1152822.7959352187
2022-08-25,1165618.102556469
2022-08-26,1132353.0942186108
2022-08-29,1125827.8694259375
2022-08-30,1113822.7407998429
2022-08-31,1103983.200963625
