Date,OLMAR_net_worth
2022-12-16,969431.9509095834
2022-12-19,961558.8435792611
2022-12-20,965124.0425614999
2022-12-21,985833.3561715768
2022-12-22,973813.4572953866
2022-12-23,977994.7243585275
2022-12-27,979445.1485490487
2022-12-28,967388.0532769845
2022-12-29,980887.5249910043
2022-12-30,980035.9809312508
2023-01-03,986075.762948005
2023-01-04,999859.9263848946
2023-01-05,990438.836712806
2023-01-06,1015918.4724855111
2023-01-09,1015400.9098291085
2023-01-10,1021076.7976770089
2023-01-11,1028721.2939500497
2023-01-12,1038943.8054437325
2023-01-13,1042445.1141290353
2023-01-17,1033925.0535020516
2023-01-18,1015240.8981694863
2023-01-19,1004810.6334161446
2023-01-20,1019237.7663221047
2023-01-23,1030404.9425515817
2023-01-24,1032742.6862935708
2023-01-25,1035532.0905465768
2023-01-26,1042019.9731149361
2023-01-27,1048342.9458932565
2023-01-30,1040111.0069169686
2023-01-31,1050167.2855500863
2023-02-01,1056629.5305299447
2023-02-02,1063045.0044068978
2023-02-03,1056862.902161567
2023-02-06,1051116.651860206
2023-02-07,1061464.8301133798
2023-02-08,1053498.0976915048
2023-02-09,1044945.4563054726
2023-02-10,1045226.9786767648
2023-02-13,1059704.0138978646
2023-02-14,1058685.4327592538
2023-02-15,1062223.8606500314
2023-02-16,1048053.4953775094
2023-02-17,1046915.7578668282
2023-02-21,1020484.9850206063
2023-02-22,1018410.565480201
2023-02-23,1021392.731194465
2023-02-24,1006059.1540951874
2023-02-27,1009899.8786492493
2023-02-28,1004673.2602391389
2023-03-01,1005071.471489444
2023-03-02,1010585.7483163025
2023-03-03,1025190.1131291535
2023-03-06,1028016.441940799
2023-03-07,1010282.0170121338
2023-03-08,1005543.8904214051
2023-03-09,980751.2267861512
2023-03-10,979462.6424584534
2023-03-13,970550.8729844239
2023-03-14,987756.0581154969
2023-03-15,964963.5547299531
2023-03-16,976438.3151326325
2023-03-17,958838.6817097809
2023-03-20,969644.926233783
2023-03-21,985949.8358006623
2023-03-22,966189.2901978638
2023-03-23,966663.8582101014
2023-03-24,966308.1023011353
2023-03-27,978187.9840264466
2023-03-28,980261.4501347687
2023-03-29,989275.7358346131
2023-03-30,993665.6102700379
2023-03-31,1004756.2266163972
2023-04-03,1016583.9758076813
2023-04-04,1010647.9764752534
2023-04-05,1012050.7771153596
2023-04-06,1009308.975346103
2023-04-10,1012269.762630954
2023-04-11,1015037.0047269013
2023-04-12,1015272.0944638398
2023-04-13,1026984.5278973725
2023-04-14,1040383.2114186432
2023-04-17,1043172.3345723298
2023-04-18,1045632.914799228
2023-04-19,1042748.786270633
2023-04-20,1038332.635048404
2023-04-21,1038929.9137234833
2023-04-24,1042196.4640278962
2023-04-25,1027883.1378693726
2023-04-26,1016908.6755929139
2023-04-27,1031705.5527901795
2023-04-28,1041065.5852875855
2023-05-01,1043180.9490552094
2023-05-02,1025854.6163678315
2023-05-03,1014679.8137555268
