date,ensemble,dji
2021-11-11,1065318.8194110875,1074513.1448523693
2021-11-12,1072304.441595452,1079869.9156744438
2021-11-15,1074135.798707688,1079485.2526968182
2021-11-16,1077366.8049883314,1081123.5757859098
2021-11-17,1069244.8814379275,1074806.900236862
2021-11-18,1069033.5231386723,1073009.0798924675
2021-11-19,1065712.562364964,1064963.407356808
2021-11-22,1060287.1563055995,1065479.9915075016
2021-11-23,1062721.7969956517,1071299.5964894712
2021-11-24,1068222.5548183215,1071017.7595811987
2021-11-26,1041622.9575122036,1043945.2913898006
2021-11-29,1048748.953017613,1051022.7630042552
2021-11-30,1029782.6686500898,1031512.8016703627
2021-12-01,1009050.898812493,1017702.5594693987
2021-12-02,1030052.9671683888,1036181.3389146078
2021-12-03,1026553.7743522192,1034395.2033508213
2021-12-06,1046142.1821952712,1053747.5369943075
2021-12-07,1065018.211770413,1068476.6703423092
2021-12-08,1065492.1815554623,1069533.2082049127
2021-12-09,1070336.8790119367,1069531.4554878215
2021-12-10,1080822.0579173856,1076001.552206256
2021-12-13,1073582.490489361,1066428.211453866
2021-12-14,1063785.352988019,1063234.410370196
2021-12-15,1072679.1131673437,1074698.582320623
2021-12-16,1068323.4409213874,1073807.500951433
2021-12-17,1055428.137729935,1057887.8053072507
2021-12-20,1045709.2757807166,1044927.046656511
2021-12-21,1069082.23252237,1061694.4731338266
2021-12-22,1074673.4878505254,1069507.5016875744
2021-12-23,1075262.9740662274,1075390.4381804413
2021-12-27,1086899.5123924604,1085914.4526831238
2021-12-28,1085390.6085738265,1088781.0799097607
2021-12-29,1087803.045467656,1091485.7560771666
2021-12-30,1084458.9495374227,1088777.107084354
2021-12-31,1082463.6461097496,1086988.985107864
2022-01-03,1089170.6844703453,1094370.2610181347
2022-01-04,1086718.1038442235,1100789.295245311
2022-01-05,1069424.604001145,1089047.2592120182
2022-01-06,1070790.6623633276,1083942.8796510831
2022-01-07,1062026.162395207,1083799.0400017947
2022-01-10,1047630.0849985968,1078929.524531087
2022-01-11,1047232.8879656683,1084408.0507671
2022-01-12,1049801.157374848,1085553.743505745
2022-01-13,1041427.1661867988,1080268.132997575
2022-01-14,1037933.0715289008,1074231.3079440969
2022-01-18,1031069.2691988836,1057978.3623569652
2022-01-19,1026988.3657526862,1047813.30431457
2022-01-20,1019010.0855173956,1038442.8113535404
2022-01-21,1006960.5361361396,1024981.3598537345
2022-01-24,1002323.113776673,1027946.606628706
2022-01-25,992602.1638827216,1025949.3270793272
2022-01-26,998977.0092158208,1022071.3820910405
2022-01-27,1000195.02321576,1021852.7598458591
2022-01-28,1044177.2207217108,1038744.2786932348
2022-01-31,1043133.066925168,1050900.6570468985
2022-02-01,1044544.4460492372,1059078.2507556255
2022-02-02,1050458.1689599275,1065781.4588471958
2022-02-03,1036721.9572724582,1050281.4805224638
2022-02-04,1036498.5685962498,1049640.6871539042
2022-02-07,1034549.2265956852,1049682.2849728698
2022-02-08,1046622.3792004368,1060799.535787036
2022-02-09,1055648.3203227513,1069931.308680238
2022-02-10,1039285.8355259984,1054183.0287675792
2022-02-11,1024470.5961308568,1039120.8791722408
2022-02-14,1021100.1030430882,1033979.2251611652
2022-02-15,1032509.8017888158,1046622.5083227771
2022-02-16,1032472.2702641576,1044990.144471796
2022-02-17,1014951.1022801488,1026377.1068973974
2022-02-18,1008668.5701756566,1019411.8091767827
2022-02-22,1002200.2474980444,1004976.6649088863
