date,ensemble,dji
2022-09-08,823735.4024142739,868510.8279880736
2022-09-09,832927.2671009614,878820.8130133385
2022-09-12,840973.8768561532,885097.389164271
2022-09-13,809526.0008980063,850209.6729848838
2022-09-14,809375.420037174,851032.9364094269
2022-09-15,814163.182137573,846296.8627796419
2022-09-16,806756.7661478918,842486.5534352469
2022-09-19,809728.350926628,847878.3656451281
2022-09-20,800813.9010516737,839310.6817108035
2022-09-21,790130.392362913,825030.2297460701
2022-09-22,789701.2274633539,822102.8158374507
2022-09-23,772987.7466578883,808811.3370222966
2022-09-26,762219.5651932963,799802.2053700841
2022-09-27,760856.4637577132,796363.0879452047
2022-09-28,773609.2220496882,811362.3805824933
2022-09-29,763171.7906263483,798840.0319247473
2022-09-30,753993.258876436,785170.5277993546
2022-10-03,770719.9239471301,806091.1136558373
2022-10-04,793452.6346481189,828653.047932499
2022-10-05,792056.2402633437,827492.706156191
2022-10-06,783355.7199477691,818009.881723616
2022-10-07,766339.3371950148,800785.6263897007
2022-10-10,761145.8242433013,798218.780613457
2022-10-11,757654.2094053477,799211.2238442628
2022-10-12,756504.5929100779,798436.5949427569
2022-10-13,771985.9211452082,821065.2615506992
2022-10-14,766436.4390538577,810025.4917505492
2022-10-17,782973.865066904,825086.0179750208
2022-10-18,794763.9943347395,834324.2283740534
2022-10-19,793726.253387409,831591.1390141231
2022-10-20,798452.781376726,829125.0857510457
2022-10-21,814866.7308909034,849597.1235695925
2022-10-24,824507.5346678199,860996.8208717378
2022-10-25,837237.6990541896,870211.5414901597
2022-10-26,822783.4112470836,870276.2985444344
2022-10-27,825669.2169569224,875583.6543158469
2022-10-28,844431.9616831035,898230.0984168422
2022-10-31,842264.5249479503,894708.1261294447
2022-11-01,834709.4467523784,892528.2744887637
2022-11-02,818731.1205557078,878712.8134083939
2022-11-03,820748.4887750834,874708.1795153097
2022-11-04,814249.1501501292,885695.4710101407
2022-11-07,829839.2526643962,897278.8690738353
2022-11-08,841154.9386442393,906403.5811238257
2022-11-09,822349.4692838878,888721.8089266506
2022-11-10,859645.9247434825,921561.216236777
2022-11-11,853494.0214250773,922449.2367155949
2022-11-14,844151.2120874614,916677.4773043342
2022-11-15,850459.7949617595,918214.2428149299
2022-11-16,841732.8545892924,917145.6713405991
2022-11-17,836467.4126013011,916940.4560754449
2022-11-18,843839.9719980449,922389.9784054176
2022-11-21,833791.8390310496,921148.7570435975
2022-11-22,844954.4460619182,932022.6035752513
2022-11-23,854371.9808366984,934645.451123906
2022-11-25,862579.9783533305,938826.7388443562
2022-11-28,854137.9412668437,925226.3694141703
2022-11-29,851701.379714796,925310.2919939887
2022-11-30,880127.0570886821,945461.6409213332
2022-12-01,854954.9901140422,940138.2160045485
2022-12-02,857788.3858926982,941091.2604669661
2022-12-05,840723.3734319896,927895.2355784759
2022-12-06,834504.281183073,918307.6680787228
2022-12-07,830559.7423074931,918350.9106293927
2022-12-08,835456.1898439616,923368.2209961268
2022-12-09,828959.1449602336,915030.950455248
2022-12-12,843971.9335191936,929478.8738785632
2022-12-13,844957.8170259685,932310.6737029237
2022-12-14,843633.818084547,928421.4066641575
2022-12-15,825273.3095110148,907534.9343754255
2022-12-16,818406.4165228099,899833.4894869885
2022-12-19,820036.9557073802,895380.2541701033
2022-12-20,820060.3946760386,897900.3873144508
2022-12-21,835264.2667787761,912298.1280246429
2022-12-22,824500.6325967998,902758.928118602
2022-12-23,829374.7977731914,907581.7003931869
2022-12-27,832514.5383928508,908610.2324687493
2022-12-28,823640.8778703898,898610.3125475467
