Date,CRP_net_worth
2023-01-11,1114363.8758172893
2023-01-12,1120744.8556390973
2023-01-13,1124625.266743679
2023-01-17,1113370.173696907
2023-01-18,1091595.5271190873
2023-01-19,1083315.8157056808
2023-01-20,1096149.0514997502
2023-01-23,1106495.1287660352
2023-01-24,1107651.5727148342
2023-01-25,1108169.5122168255
2023-01-26,1114599.0532811356
2023-01-27,1115462.9098931083
2023-01-30,1106677.7340308877
2023-01-31,1117574.5090513306
2023-02-01,1119696.186204281
2023-02-02,1123028.069427456
2023-02-03,1118212.1182616025
2023-02-06,1113355.6953501569
2023-02-07,1121811.0561614113
2023-02-08,1113216.1078211842
2023-02-09,1104722.7198631554
2023-02-10,1109869.634671198
2023-02-13,1123179.6135186807
2023-02-14,1118846.340303215
2023-02-15,1121700.5613762168
2023-02-16,1108940.4196875019
2023-02-17,1113091.7813006858
2023-02-21,1090375.4795219956
2023-02-22,1087029.4076700325
2023-02-23,1089403.7272297554
2023-02-24,1078908.0686658763
2023-02-27,1080637.5528559722
2023-02-28,1075141.9820694465
2023-03-01,1075553.4726113013
2023-03-02,1086901.3685907898
2023-03-03,1099344.0884835967
2023-03-06,1100251.4919607907
2023-03-07,1082611.2995374813
2023-03-08,1081318.2714499626
2023-03-09,1063944.0694572467
2023-03-10,1056843.5628998165
2023-03-13,1053940.267851965
2023-03-14,1065956.626810896
2023-03-15,1058776.6329511395
2023-03-16,1071534.7307819996
2023-03-17,1059138.3525256673
2023-03-20,1071216.8806735459
2023-03-21,1080510.8435974463
2023-03-22,1061807.238323555
2023-03-23,1064910.389124134
2023-03-24,1069862.288636755
2023-03-27,1076578.2999636345
2023-03-28,1076638.9435072364
2023-03-29,1090862.3136717414
2023-03-30,1095808.2110469018
2023-03-31,1109171.6915917739
2023-04-03,1117974.7642784156
2023-04-04,1113417.9652667656
2023-04-05,1116118.9316070594
2023-04-06,1114557.9750564995
2023-04-10,1117341.3593199272
2023-04-11,1119342.5687477456
2023-04-12,1116145.3003119489
2023-04-13,1128655.384584816
2023-04-14,1125821.0878782978
2023-04-17,1130412.7071400508
2023-04-18,1129532.5656069145
2023-04-19,1126102.4235944138
2023-04-20,1120730.7182585278
2023-04-21,1122332.9529016456
2023-04-24,1123369.9070989722
2023-04-25,1112122.090531988
2023-04-26,1104233.2873774318
2023-04-27,1122049.8058247184
2023-04-28,1131989.620683262
2023-05-01,1129655.1197353383
2023-05-02,1115472.2518044778
2023-05-03,1107597.4267831994
2023-05-04,1098387.1215859414
2023-05-05,1115592.3838241538
2023-05-08,1114205.9786846142
2023-05-09,1110997.9222253228
2023-05-10,1109937.2535085755
2023-05-11,1100865.5325643579
2023-05-12,1100244.0414735011
2023-05-15,1103152.8927753926
2023-05-16,1091476.7955059072
2023-05-17,1104063.824194315
2023-05-18,1109845.5772238998
2023-05-19,1106959.8574273568
2023-05-22,1102111.632322729
2023-05-23,1094874.8318446712
2023-05-24,1084543.8324236241
2023-05-25,1079143.5505102195
2023-05-26,1089493.5883376026
2023-05-30,1088862.3202529468
2023-05-31,1087413.357136654
2023-06-01,1091927.6799831314
2023-06-02,1115086.598869608
2023-06-05,1107119.1504691106
2023-06-06,1109585.4179964885
2023-06-07,1114727.5062467214
2023-06-08,1119922.2396618938
2023-06-09,1120017.1221682262
2023-06-12,1127700.1776316434
2023-06-13,1133514.1401868763
2023-06-14,1132846.8892396335
2023-06-15,1146713.917012846
2023-06-16,1146197.4862181512
2023-06-20,1134690.2042037735
2023-06-21,1128294.465600567
2023-06-22,1128449.9579739838
2023-06-23,1121568.1673209763
2023-06-26,1122629.7530368576
2023-06-27,1125737.1020027658
2023-06-28,1124445.7158987846
2023-06-29,1130885.0909847203
2023-06-30,1139878.1157681064
2023-07-03,1141785.1350484886
2023-07-05,1137845.4418336449
2023-07-06,1125046.2960571193
2023-07-07,1119020.5828769684
2023-07-10,1125831.676978796
2023-07-11,1137867.7630668315
2023-07-12,1139815.0999497834
2023-07-13,1140853.5471135178
2023-07-14,1138157.8819553794
2023-07-17,1138168.3042688828
2023-07-18,1147485.3050561293
2023-07-19,1154153.600684889
2023-07-20,1159692.8051119098
2023-07-21,1162113.3216505488
2023-07-24,1166538.510542553
