time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/reward,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/explained_variance,train/std,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
44,14650,332,293,,0.005345259,2.1420367011160125e-05,-0.0021712256311438695,0.2,-7.099469327926636,0.0019999999552965165,2920,0.00025,-10.352877616882324,1.0018625259399414,-0.010781331919133663,2960.0,8.450000000000001e-05
44,14700,333,294,,0.0014365088,1.6917386710701975e-05,-0.0010706316139549089,0.2,-7.100539493560791,0.0,2930,0.00025,-1.831289529800415,1.0017446279525757,-0.00875234603881836,2960.0,8.450000000000001e-05
44,14750,335,295,,0.018582871,1.0382539949205239e-05,-0.02792181352525951,0.2,-7.099068355560303,0.08399999998509884,2940,0.00025,-0.24079954624176025,1.0013668537139893,-0.051422737538814545,2960.0,8.450000000000001e-05
43,14800,342,296,,0.012598366,1.4536345952365082e-05,-0.00962447724770783,0.2,-7.097744464874268,0.05799999944865704,2950,0.00025,-17.114200592041016,1.0012001991271973,-0.014725273475050926,2960.0,7.840000000000001e-05
43,14850,344,297,,0.015462586,9.22589737456292e-05,-0.014962943370453985,0.2,-7.096905851364136,0.06800000034272671,2960,0.00025,-0.6156206130981445,1.001093864440918,-0.023741044104099274,2960.0,7.840000000000001e-05
43,14900,345,298,,0.00030281662,1.6482939940942743e-06,-4.0364985652630025e-05,0.2,-7.098031997680664,0.0,2970,0.00025,-7.406411170959473,1.0020147562026978,-0.000740779796615243,2960.0,7.840000000000001e-05
43,14950,347,299,,0.0027929342,1.328835742242518e-06,-0.010064895510906524,0.2,-7.104001235961914,0.0,2980,0.00025,-22.334915161132812,1.0032962560653687,-0.025600211694836617,2960.0,7.840000000000001e-05
43,15000,348,300,,0.0015222621,7.051208456232416e-07,-0.0020554817792582726,0.2,-7.109807729721069,0.0,2990,0.00025,-50.643577575683594,1.0044111013412476,-0.007138174492865801,2960.0,7.840000000000001e-05
42,15050,350,301,,0.0012384034,5.539850917557488e-07,-0.005357888372847808,0.2,-7.114590644836426,0.0,3000,0.00025,-2.25064754486084,1.0052096843719482,-0.012912207283079624,2960.0,7.840000000000001e-05
42,15100,351,302,,0.00086350203,6.23915201458658e-07,-0.003039209949085375,0.2,-7.117340564727783,0.0,3010,0.00025,-1.348404884338379,1.0055043697357178,-0.0065693422220647335,2960.0,7.840000000000001e-05
42,15150,352,303,,0.0034193431,1.1991980272796355e-06,-0.006258827423211244,0.2,-7.116426467895508,0.0019999999552965165,3020,0.00025,-5.284520149230957,1.004603624343872,-0.01576090045273304,2960.0,7.840000000000001e-05
42,15200,354,304,,0.010249206,3.24167694998323e-07,-0.016251846433617167,0.2,-7.111931800842285,0.04400000050663948,3030,0.00025,-26.99724769592285,1.0042113065719604,-0.03134914115071297,2960.0,7.840000000000001e-05
42,15250,355,305,,0.0011191785,6.992393991822609e-07,0.005504507085308497,0.2,-7.112052345275879,0.0,3040,0.00025,-12.435973167419434,1.004597783088684,0.00201029097661376,2960.0,7.840000000000001e-05
42,15300,356,306,,0.006042596,5.475653097164468e-07,-0.011435301947407338,0.2,-7.113159799575806,0.011999999731779098,3050,0.00025,-4.289608478546143,1.004341959953308,-0.025779396295547485,2960.0,7.840000000000001e-05
42,15350,357,307,,0.0027646553,2.1330077402126335e-07,-0.0039861303402574325,0.2,-7.110266590118409,0.0,3060,0.00025,-29.290538787841797,1.0035444498062134,-0.010824708268046379,2960.0,7.840000000000001e-05
42,15400,359,308,,0.0035651708,2.425973718800378e-07,-0.006796909099794135,0.2,-7.105308103561401,0.003999999910593033,3070,0.00025,-21.362483978271484,1.0022512674331665,-0.0172562375664711,2960.0,7.840000000000001e-05
42,15450,360,309,,0.00032124878,6.696480937762317e-07,0.0013553846557624815,0.2,-7.098997163772583,0.0,3080,0.00025,-0.4313575029373169,1.0014533996582031,-0.006656300276517868,2960.0,7.840000000000001e-05
42,15500,361,310,,0.0010058939,3.524891695860788e-07,-0.0007308592935441283,0.2,-7.096446800231933,0.0,3090,0.00025,-37.425785064697266,1.0011223554611206,-0.005308274179697037,2960.0,7.840000000000001e-05
42,15550,363,311,,0.0017761088,4.0950437494302607e-07,-0.009146827421325731,0.2,-7.095510005950928,0.0,3100,0.00025,-13.526595115661621,1.0011639595031738,-0.02615264616906643,2960.0,7.840000000000001e-05
42,15600,364,312,,0.0021552409,2.461067452941279e-07,-0.005538345232256603,0.2,-7.095423460006714,0.0,3110,0.00025,-1.7847166061401367,1.000819206237793,-0.016301710158586502,2960.0,7.840000000000001e-05
42,15650,365,313,,0.0038277041,2.549457491340945e-07,-0.00788292628270577,0.2,-7.092513799667358,0.003999999910593033,3120,0.00025,-4.787736415863037,1.000105619430542,-0.020166102796792984,2960.0,7.840000000000001e-05
42,15700,367,314,,0.0016454661,3.515598962167132e-07,-0.00015927950805054713,0.2,-7.089218807220459,0.0,3130,0.00025,-1.806138038635254,0.9996095895767212,-0.005110855679959059,2960.0,7.840000000000001e-05
42,15750,368,315,,0.015997054,5.164572826288349e-07,-0.015403824267908917,0.2,-7.086214780807495,0.06199999935925007,3140,0.00025,-8.467615127563477,0.9987565875053406,-0.02940354309976101,2960.0,7.840000000000001e-05
42,15800,369,316,,0.0018531025,6.499722587705037e-07,-0.00232393242602118,0.2,-7.081132078170777,0.0,3150,0.00025,-4.598779678344727,0.997780978679657,-0.009484951384365559,2960.0,7.840000000000001e-05
42,15850,371,317,,0.0044984673,6.446226478828976e-07,-0.007428458325797749,0.2,-7.076733112335205,0.005999999865889549,3160,0.00025,-10.526185035705566,0.9969110488891602,-0.017328796908259392,2960.0,7.840000000000001e-05
42,15900,372,318,,0.011398338,9.13328977958372e-07,-0.014828503996133868,0.2,-7.0744743824005125,0.04999999962747097,3170,0.00025,0.3031504154205322,0.9973381161689758,-0.02275756560266018,2960.0,7.840000000000001e-05
42,15950,373,319,,0.003353914,1.133940475028794e-06,-0.009457513082073987,0.2,-7.077532052993774,0.0,3180,0.00025,-38.63740158081055,0.9975075721740723,-0.026615193113684654,2960.0,7.840000000000001e-05
42,16000,374,320,,0.0018130982,3.0312780836538876e-07,-0.0006873918723719896,0.2,-7.0766167640686035,0.0,3190,0.00025,0.48685234785079956,0.9971534013748169,-0.003950756974518299,2960.0,7.840000000000001e-05
