time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/clip_range,train/std,train/explained_variance,train/entropy_loss,train/loss
106496,91,52,1167,6.175333592040033e-06,0.00025,-0.00014021212121212122,-0.021095015478204006,510,3212.0,0.019840557,0.094580078125,0.3,0.886795699596405,-0.3602381944656372,-9.063673081994057,-0.018419357016682625
108544,91,53,1189,7.193990749954082e-06,0.00025,-0.00014021212121212122,-0.020627071225317196,520,3212.0,0.020550886,0.079833984375,0.3,0.880182147026062,-0.6796988248825073,-9.038173654675484,-0.012603901326656342
110592,91,54,1213,7.279354738187749e-06,0.00025,-0.00013944117647058825,-0.022134886542335152,530,3212.0,0.026153503,0.114404296875,0.3,0.873258650302887,-1.0212852954864502,-8.9838325381279,0.008092032745480537
112640,91,55,1237,5.86833851698998e-06,0.00025,-0.00013771428571428572,-0.018574362866638695,540,3212.0,0.019115262,0.085791015625,0.3,0.8751350045204163,-0.5740753412246704,-8.965476110577583,-0.037006277590990067
114688,91,56,1259,7.522603940657291e-06,0.00025,-0.00013771428571428572,-0.024500116419949335,550,3212.0,0.02696878,0.12607421875,0.3,0.8743239045143127,-0.4700049161911011,-8.968695512413978,-0.010205341503024101
116736,90,57,1283,5.662186028843052e-06,0.00025,-0.00013669444444444447,-0.022308818010787945,560,3212.0,0.0238575,0.1021484375,0.3,0.8692259192466736,-1.738476037979126,-8.943930944800377,-0.05089813098311424
118784,91,58,1305,6.144810358676977e-06,0.00025,-0.00013669444444444447,-0.024666475167032333,570,3212.0,0.025305731,0.10478515625,0.3,0.8678703904151917,-1.2887108325958252,-8.916236314177514,-0.05167831853032112
120832,90,59,1329,6.781502576558296e-06,0.00025,-0.00013454054054054055,-0.02224444849853171,580,3212.0,0.028254405,0.11259765625,0.3,0.8672575950622559,-1.401519775390625,-8.905031663179397,-0.0013367481296882033
122880,90,60,1354,5.2162399590827135e-06,0.00025,-0.0001326842105263158,-0.019373863938380965,590,3212.0,0.024295129,0.092041015625,0.3,0.8657637238502502,-1.3420629501342773,-8.896769154071809,-0.04104987531900406
124928,90,61,1375,6.65438733733481e-06,0.00025,-0.0001326842105263158,-0.023292564843723086,600,3212.0,0.022784349,0.104150390625,0.3,0.8634793162345886,-1.0427415370941162,-8.879109248518944,-0.02400486171245575
126976,90,62,1399,7.283498258203735e-06,0.00025,-0.00013261538461538462,-0.020506160393415483,610,3212.0,0.019216433,0.07138671875,0.3,0.8583711385726929,-2.035386562347412,-8.850548622012138,-0.05075789988040924
129024,90,63,1422,4.623918283641615e-06,0.00025,-0.000131225,-0.018283241166500375,620,3212.0,0.020853404,0.0833984375,0.3,0.855918288230896,-0.9897252321243286,-8.819263565540314,0.00016059947665780783
131072,90,64,1444,5.4212682144338945e-06,0.00025,-0.000131225,-0.020567304913129192,630,3212.0,0.021503037,0.09677734375,0.3,0.8525795340538025,-2.0953118801116943,-8.79645140171051,-0.006665444932878017
133120,90,65,1467,5.1585669496034825e-06,0.00025,-0.00013158536585365855,-0.018032238230807705,640,3212.0,0.019361556,0.089453125,0.3,0.8466605544090271,-1.9155158996582031,-8.759655854105949,-0.014544626697897911
135168,90,66,1492,5.224362315914277e-06,0.00025,-0.0001313809523809524,-0.024452916665177328,650,3212.0,0.026123747,0.116943359375,0.3,0.8459026217460632,-1.642282247543335,-8.7305654078722,-0.014305783435702324
137216,90,67,1514,6.618779519129703e-06,0.00025,-0.0001313809523809524,-0.020306841826823074,660,3212.0,0.022119824,0.115625,0.3,0.8435723185539246,-1.8118081092834473,-8.719462922215461,-0.03552182391285896
139264,90,68,1538,5.396036148397343e-06,0.00025,-0.00013190697674418604,-0.021891540521755813,670,3212.0,0.025634056,0.108349609375,0.3,0.838398814201355,-2.3931167125701904,-8.689733704924583,-0.011266486719250679
141312,90,69,1560,5.615769130429271e-06,0.00025,-0.00013190697674418604,-0.024444224893522916,680,3212.0,0.024549872,0.107421875,0.3,0.8332585096359253,-1.8286030292510986,-8.640959924459457,-0.006127187982201576
143360,90,70,1583,6.1401606842537145e-06,0.00025,-0.00013199999999999998,-0.019720264822535683,690,3212.0,0.025307266,0.11259765625,0.3,0.8359335660934448,-1.6866965293884277,-8.63142731487751,-0.0006775956135243177
145408,90,71,1607,5.100037821037518e-06,0.00025,-0.0001315111111111111,-0.020282049859815743,700,3212.0,0.02574632,0.10166015625,0.3,0.8328296542167664,-1.1696674823760986,-8.632106900215149,-0.014688637107610703
147456,90,72,1629,4.426600986562334e-06,0.00025,-0.0001315111111111111,-0.022610111335234252,710,3212.0,0.024958663,0.111572265625,0.3,0.8310399055480957,-2.3284623622894287,-8.61103745996952,-0.02495979703962803
149504,90,73,1653,5.201782597907822e-06,0.00025,-0.0001313695652173913,-0.024975163825729396,720,3212.0,0.026002524,0.11416015625,0.3,0.8255165219306946,-1.428631067276001,-8.579161483049393,-0.0460871085524559
151552,90,74,1677,4.410296664048019e-06,0.00025,-0.0001307659574468085,-0.02571381433663191,730,3212.0,0.026166577,0.11923828125,0.3,0.8252968192100525,-1.699829339981079,-8.56030813753605,-0.023514514788985252
153600,90,75,1699,5.845048957553445e-06,0.00025,-0.0001307659574468085,-0.022256574337370695,740,3212.0,0.023957398,0.119482421875,0.3,0.8234229683876038,-1.8568849563598633,-8.546002972126008,-0.05279071629047394
155648,90,76,1723,4.033074855058772e-06,0.00025,-0.00012977083333333333,-0.019763427568250336,750,3212.0,0.024388656,0.115478515625,0.3,0.8270172476768494,-1.1548376083374023,-8.555482617020607,0.04798523709177971
157696,90,77,1748,3.987131358940133e-06,0.00025,-0.0001302857142857143,-0.021323669911362232,760,3212.0,0.021645755,0.100390625,0.3,0.8277856111526489,-2.347043514251709,-8.5806084305048,-0.043275266885757446
159744,90,78,1769,7.199843234673153e-06,0.00025,-0.0001302857142857143,-0.020661776504130102,770,3212.0,0.023653626,0.11337890625,0.3,0.8281377553939819,-1.7140040397644043,-8.58171015381813,0.047513123601675034
161792,90,79,1792,3.4617018076943397e-06,0.00025,-0.00013016,-0.02559420378674986,780,3212.0,0.029440468,0.14365234375,0.3,0.8243094086647034,-2.4514222145080566,-8.556396302580833,-0.019625073298811913
163840,90,80,1816,4.233926986785264e-06,0.00025,-0.00012937254901960785,-0.016931007061793936,790,3212.0,0.0190254,0.09208984375,0.3,0.8171977400779724,-1.8335862159729004,-8.508921211957931,-0.03049888275563717
165888,90,81,1837,7.1421585623454575e-06,0.00025,-0.00012937254901960785,-0.020048562352894806,800,3212.0,0.026364867,0.1091796875,0.3,0.8222718834877014,-2.9386518001556396,-8.499460956454277,0.02199709601700306
167936,90,82,1861,3.406931797655943e-06,0.00025,-0.00012957692307692307,-0.019631184586614836,810,3212.0,0.02173588,0.10859375,0.3,0.8208802342414856,-1.8907201290130615,-8.510851573944091,-0.005010625347495079
169984,90,83,1882,4.316816464822182e-06,0.00025,-0.00012957692307692307,-0.021256181194621603,820,3212.0,0.023239864,0.103857421875,0.3,0.8200258612632751,-1.5516440868377686,-8.504503446817399,-0.033519044518470764
172032,90,84,1905,6.958543749746582e-06,0.00025,-0.00013000000000000002,-0.01990907141007483,830,3212.0,0.022163957,0.10087890625,0.3,0.8157070279121399,-2.171151876449585,-8.479837039113045,-0.002709596185013652
174080,90,85,1929,3.6514482580685125e-06,0.00025,-0.00013046296296296298,-0.02689247899252223,840,3212.0,0.023899827,0.127197265625,0.3,0.8081272840499878,-2.508945941925049,-8.429484045505523,0.013152927160263062
176128,90,86,1951,4.145719954706806e-06,0.00025,-0.00013046296296296298,-0.02118484782113228,850,3212.0,0.020243943,0.10771484375,0.3,0.8059319853782654,-1.2900042533874512,-8.389379507303238,-0.012909338809549809
178176,90,87,1974,3.2666208657161634e-06,0.00025,-0.0001291818181818182,-0.018631507469399365,860,3212.0,0.020866886,0.097216796875,0.3,0.8021456003189087,-0.6434441804885864,-8.361627325415611,-0.04525745287537575
180224,90,88,1998,4.06979241205363e-06,0.00025,-0.000129375,-0.023015519902401138,870,3212.0,0.026798546,0.1283203125,0.3,0.8027482628822327,-0.21812665462493896,-8.34231657087803,-0.029848802834749222
182272,90,89,2020,4.629234178565866e-06,0.00025,-0.000129375,-0.01948914806562243,880,3212.0,0.022874093,0.106298828125,0.3,0.803767204284668,-1.2575407028198242,-8.355649879574775,-0.02687114290893078
184320,90,90,2044,3.3302542508550916e-06,0.00025,-0.0001292456140350877,-0.02454608696862124,890,3212.0,0.029915556,0.127197265625,0.3,0.8008355498313904,-1.398010015487671,-8.345998087525368,-0.05394963547587395
186368,90,91,2067,4.687827232530139e-06,0.00025,-0.00012925862068965515,-0.025150957574805944,900,3212.0,0.025630916,0.115625,0.3,0.7955421805381775,-1.5265324115753174,-8.308244660496712,-0.06178276240825653
188416,90,92,2089,4.015740663021461e-06,0.00025,-0.00012925862068965515,-0.02091583490546327,910,3212.0,0.024292812,0.115283203125,0.3,0.798261821269989,-2.308677911758423,-8.296057718992234,-0.005275271367281675
190464,90,93,2112,2.871961808992296e-06,0.00025,-0.00012906779661016947,-0.02137007122801151,920,3212.0,0.022323396,0.11279296875,0.3,0.7981051802635193,-2.1384012699127197,-8.310410317778587,0.016674311831593513
192512,90,94,2134,4.968623994017207e-06,0.00025,-0.00012906779661016947,-0.022968630350078456,930,3212.0,0.024035295,0.112109375,0.3,0.7951838374137878,-2.6359307765960693,-8.292339670658112,-0.06628772616386414
194560,90,95,2157,3.98886528394371e-06,0.00025,-0.00012881666666666666,-0.018089616036741064,940,3212.0,0.023705592,0.1025390625,0.3,0.7880486249923706,-3.2504167556762695,-8.241543838381768,-0.04072806239128113
196608,90,96,2180,2.9626489450151892e-06,0.00025,-0.00012826229508196722,-0.02776462510446436,950,3212.0,0.03150907,0.144482421875,0.3,0.7875426411628723,-2.1499364376068115,-8.212709864974022,-0.029472937807440758
198656,90,97,2202,4.0184303230716974e-06,0.00025,-0.00012826229508196722,-0.021585949198924936,960,3212.0,0.023576494,0.11640625,0.3,0.7816961407661438,-1.779376745223999,-8.18492117524147,-0.03653629869222641
200704,90,98,2225,3.88144465190976e-06,0.00025,-0.00012837096774193546,-0.014567112911026924,970,3212.0,0.018436681,0.080029296875,0.3,0.7768768668174744,-2.4135124683380127,-8.139366000890732,-0.04288644716143608
202752,90,99,2249,3.133427173551695e-06,0.00025,-0.00012763492063492062,-0.02258180345670553,980,3212.0,0.025666455,0.114453125,0.3,0.7716017961502075,-1.0702259540557861,-8.092743089795112,0.012974344193935394
204800,90,100,2271,3.476706260485685e-06,0.00025,-0.00012763492063492062,-0.023558823260100326,990,3212.0,0.0249387,0.127099609375,0.3,0.7717456817626953,-1.4936439990997314,-8.073272493481635,-0.010070818476378918
206848,90,101,2295,3.4724167573330077e-06,0.00025,-0.0001265625,-0.0172855853146757,1000,3212.0,0.020287933,0.092236328125,0.3,0.7687329649925232,-2.59832763671875,-8.061947765946389,-0.03447642922401428
208896,90,102,2318,3.074188997231886e-06,0.00025,-0.00012613846153846153,-0.025272419760585762,1010,3212.0,0.029357355,0.132275390625,0.3,0.7649770975112915,-2.3863515853881836,-8.031599920988082,-0.03184104710817337
210944,90,103,2340,3.8076472918646685e-06,0.00025,-0.00012613846153846153,-0.026202025590464473,1020,3212.0,0.03235007,0.15126953125,0.3,0.7595838904380798,-3.4827685356140137,-7.990696169435978,-0.011244633235037327
212992,90,104,2364,7.231642405258753e-06,0.00025,-0.00012583333333333332,-0.028148636777768844,1030,3212.0,0.028261267,0.14365234375,0.3,0.7594489455223083,-2.315265655517578,-7.96593886166811,-0.046167757362127304
215040,90,105,2385,2.873539526149216e-06,0.00025,-0.00012583333333333332,-0.02431812154536601,1040,3212.0,0.027779236,0.12783203125,0.3,0.7605720162391663,-2.9002201557159424,-7.968762785196304,-0.04905582591891289
217088,90,106,2408,3.2692457644145633e-06,0.00025,-0.00012597014925373132,-0.01945632034476148,1050,3212.0,0.02682513,0.1216796875,0.3,0.7579145431518555,-3.0955042839050293,-7.963699273765087,-0.018437165766954422
219136,90,107,2431,2.5059347038336454e-06,0.00025,-0.00012510294117647056,-0.020298198714590397,1060,3212.0,0.024291262,0.1126953125,0.3,0.7495536208152771,-3.3675689697265625,-7.9070958003401755,-0.028032522648572922
